Biome;LL;LMA;Nmass;Pmass;Amass;Rmass
wland;;2,03;0,332;;2,06;
wland;;1,84;0,563;;2,33;
wland;;1,64;0,61;;2,55;
wland;;1,72;0,562;;2,34;
wland;;1,59;0,622;;2,51;
wland;;1,8;0,43;;2,27;
wland;;1,74;0,635;;2,79;
wland;;1,77;0,407;;2,53;
wland;;1,98;0,571;;2,36;
wland;;1,94;0,716;;2,41;
wland;;1,71;0,581;;2,65;
wland;;2,4;0,155;;1,72;
wland;;1,83;0,623;;2,6;
wland;;1,54;0,55;;2,74;
wland;;1,62;0,738;;2,63;
wland;;1,68;0,757;;2,78;
wland;;1,73;0,531;;2,5;
wland;;2,05;0,375;;2,31;
wland;;2,23;0,228;;1,88;
wland;;2,23;0,22;;1,84;
wland;;1,9;0,391;;2,47;
wland;;1,68;0,702;;2,8;
wland;;2,06;0,241;;2,02;
wland;;1,96;0,371;;2,28;
wland;;2,02;0,436;;2,2;
wland;;1,86;0,318;;2,53;
wland;;1,92;0,524;;2,44;
temp_for;1,15;2,08;0,002;;1,65;
temp_for;1,16;2,05;-0,1;;1,67;
temp_for;1,09;2,01;0,006;;1,86;
temp_for;0,89;2,02;0,06;;1,84;
temp_for;1,38;2,05;-0,01;;1,61;
temp_for;1,2;1,98;0,021;;1,62;
temp_for;1,22;1,76;0,098;;1,82;
temp_for;1,16;1,91;0,043;;1,78;
trop_rf;;1,74;0,398;;2,01;
trop_rf;;1,82;0,17;;1,72;
trop_rf;;1,54;0,515;;2,34;
trop_rf;;1,69;0,28;;1,94;
trop_rf;;1,67;0,324;;2,03;
trop_rf;;1,82;0,18;;1,87;
trop_rf;;2,06;0,132;;1,67;
trop_rf;;1,82;0,171;;1,89;
trop_rf;;1,99;0,184;;1,74;
trop_rf;;2,1;0,053;;1,77;
temp_rf;;2,07;0,253;;1,51;
temp_rf;;2,26;0,101;;1,29;
temp_rf;;2,32;0,085;;1,24;
temp_rf;;2,17;0,347;;1,66;
temp_rf;;2,2;0,087;;1,43;
temp_rf;;2,07;0,346;;1,39;
temp_rf;;2,26;0,246;;1,2;
temp_rf;;2,11;0,336;;1,5;
temp_rf;;2,08;0,134;-1,075;;
temp_rf;;1,95;0,111;-1,147;;
temp_rf;;2,01;0,322;-1,025;;
temp_rf;;2,18;0,057;-1,174;;
temp_rf;;1,94;0,356;-0,818;;
temp_rf;;1,92;0,262;-0,94;;
temp_for;;1,81;0,207;-0,959;;
temp_for;;1,87;0,22;-0,921;;
